"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Netherlands","NLD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","43899","49457","53432","59471","60336","52773","48884","44418","38872","36800","39038","50200","60032","65543","66310","35382","23855","14685","11156","11434","15368","22923","24179","6494","5191","4795","3353","","","","","","","","","","","","","","","","","","","","2934","","","",
"Norway","NOR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","19","","1381","1809","","2707","3087","","4325","6111","6055","4509","3787","2072","325","","444","1739","2345","2871","2685","29921","","","","","","229","1186","2839","2269","1794","996","1204","1343","793","","","250","","","","","","",
"Nepal","NPL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","661666","660402","","","","663539","","","","","","","","","","","653202","556681","","","434279","427047","","","","","","","","","","","","","","","","",
"Nauru","NRU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101","","","","","","","","",
"New Zealand","NZL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","979","1553","","","","","","","","","3272","","","","","","","","1780","4065","","4556","2263","1893","","","","","","","","","","","","","","","","","2129","3204","2730","1055","","","","",
"OECD members","OED","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","5942470","5664419","5651216","5540893","5183234","4839382","4682114","4229737","3325196","3220855","2946946","3059328","2993495","3015314","2719683","2355553","2131604","2150329","1923507","1973065","2050313","2303246","2496971","2430597","2376937","2381674","1519458","1151926","1132727","1094419","1357029","1262048","1097941","763324","678481","613859","632495","754038","876163","985900","1050482","1020645","870908","747481","594612","561553","564324","563141","",
"Oman","OMN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","61649","60922","59568","60189","","60453","60111","","60453","60622","59272","56021","54510","47407","49023","51897","52663","52411","51522","50543","44715","42414","40803","37534","34875","30171","27392","25815","23578","25209","28907","","","","","","","","457","","","","","","","","","",
"Other small states","OSS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","291133","303502","301269","295055","281650","263385","252486","250103","262491","268359","266553","260281","253985","257030","253931","249533","263045","272806","286222","304898","330968","340525","357301","364268","354382","363631","360575","361766","359543","363562","324798","303763","292754","281708","279574","270711","254364","250260","246789","242603","230801","221185","217514","220670","219711","213806","213458","206897","209369","205236","",
"Pakistan","PAK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Panama","PAN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","31981","22241","19471","17289","","16000","16295","","13988","16057","18436","20786","22638","24944","25730","24743","25722","24064","25195","22510","22451","","","","","","","","","11736","9051","6590","3143","","","3518","2028","","4641","9424","8101","9111","10680","14035","18504","22074","","29381","","","",
"Peru","PER","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","317992","","","","","","","","","","","198126","","","","","","","","","","","","173556","","268782","","","52243","24811","8201","","","26451","","","","","","12125","","3222","","","","","","","","","",
"Philippines","PHL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","272987","217303","288537","461472","","253420","285502","139068","75438","107279","","","","","","","","537932","599451","","485010","438620","506315","541375","512630","612099","601184","524589","397173","","","","","107444","148709","197113","215049","263849","","",
"Palau","PLW","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Papua New Guinea","PNG","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","167914","","","","","","","","","","","","","","","","","","","","","","","","","","","58959","","","","",
"Poland","POL","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46677","50950","52008","64237","75048","84213","89296","84687","79975","71954","63332","55421","53587","44022","37198","38026","","","28629","20806","","",
"Pre-demographic dividend","PRE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","14800000","14700000","14600000","14600000","14200000","13700000","12900000","12800000","12700000","12900000","13100000","13500000","14300000","15200000","16200000","16800000","17800000","18300000","18400000","19200000","19400000","19800000","20400000","21800000","21000000","21200000","21200000","20900000","20400000","19600000","18200000","17600000","17500000","17000000","16900000","16900000","16800000","17300000","17200000","17100000","17600000","17700000","18400000","18300000","18600000","18800000","18700000","",
"Puerto Rico","PRI","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10539","15067","13375","15636","15897","18949","25882","","25840","","",
"Korea, Dem. People’s Rep.","PRK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16650","","","","","","","","","","","",
"Portugal","PRT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","59376","60147","","38135","33615","21410","","23562","20656","","","","","","","","","","4113","","","7063","","","","","","","","","","","","","","","","","","","","2343","4830","6625","3478","","","",
"Paraguay","PRY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","45044","","66661","","","50942","49740","47968","44287","41434","36388","31614","","31917","33485","34553","38778","37687","34342","29076","25110","19178","49377","16609","31733","","20886","","","7123","966","2121","9393","11815","13595","11826","18432","26537","33859","38768","39526","39531","41864","","","","","","","","",
"West Bank and Gaza","PSE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16699","16596","20577","21486","22906","25257","31182","31909","33197","28219","24469","22579","19138","12333","9454","8308","8422","8057","6068","6032","8523","",
"Pacific island small states","PSS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16346","15184","12090","10895","10909","16180","12840","13978","17957","17169","13582","11501","10711","10869","10215","9411","10404","8666","7277","4841","3592","3534","2268","3480","4800","12643","4833","7247","7554","",
"Post-demographic dividend","PST","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","4125979","3790803","3531569","3338012","3203184","2353732","2379367","2151220","2314878","2421679","2372232","2056213","1696883","1454083","1308442","1313650","1259297","1402558","1447928","1459560","1347973","1382536","1243632","941599","846503","853838","663847","886656","892035","859621","599606","551664","528608","539228","571660","679179","725352","711818","682745","600072","558415","387825","428394","461587","454674","",
"French Polynesia","PYF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","1707","1165","1088","1278","","859","1113","771","737","","878","","1261","1153","1312","840","2174","2494","3009","3831","5073","6109","6210","4914","","","","","","547","","","","","","648","","","","","","","2116","2590","1832","1940","1613","309","258","",
"Romania","ROU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","163167","110487","79528","71726","72212","45107","60625","56349","50418","31444","12183","","2429","10023","9591","10876","10281","11683","13590","18009","","","41212","51610","62326","66576","","",
"Russian Federation","RUS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110024","231932","","","","","","","","","","","170175","147644","45598","6665","","","","","58883","26164","6234","","","","",
"Rwanda","RWA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","170137","180389","189613","","183100","178776","","","","","","","","","","","","","","","","","","","","","87107","","","120105","91614","","","","","","","","","","","","","1351","18096","38344","59284","",
"South Asia","SAS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","25600000","26700000","26500000","24900000","25700000","25200000","25400000","25000000","27300000","27800000","27600000","27100000","27700000","27300000","26700000","27200000","26400000","28200000","26900000","25400000","25900000","26100000","25900000","24700000","23700000","23600000","23400000","23500000","24400000","23700000","21900000","21500000","20600000","14500000","12400000","10800000","9929340","8234539","7511783","7788780","7444188","7696238","7355334","6568672","6386023","6901373","6626372","6573121","6567300","6657563","",
"Saudi Arabia","SAU","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","467507","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","137202","46867","45039","","","","","41291","","","","",
"Sudan","SDN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1265226","1256427","1246702","1237439","1246776","1175863","1226657","","","",
"Senegal","SEN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","315530","318073","324816","330707","336247","340861","349393","357386","335499","","352591","","382201","","409666","","","","410228","383502","365981","382382","355841","","","310851","328403","322162","295466","273781","263913","262104","252742","247440","217729","234981","232127","238090","","","","274164","",
"Singapore","SGP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","",
"Solomon Islands","SLB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9317","7459","7712","","","","","","","","","","","1982","","",
"Sierra Leone","SLE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","210865","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23588","","","9053","","","","","",
"El Salvador","SLV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","110265","","","","","","","","","","","","","97629","","","","","","","","","","","","","","","37827","","30470","27250","19668","18491","","","","","","","","","","","23765","30766","34932","49111","45491","","",
"San Marino","SMR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","29","72","96","96","90","76","35","26","29","","68","61","","","88","","","","","","","","","","","","","","","","","","","","",
"Somalia","SOM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","263328","296823","343562","385127","426485","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Serbia","SRB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","1692","2256","5510","7666","3434","4830","4381","1283","934","1026","1250","1625","2481","",
"Sub-Saharan Africa (excluding high income)","SSA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","17000000","17200000","16800000","16500000","16000000","15700000","15400000","15400000","15700000","16300000","17300000","18400000","19500000","20400000","20900000","21700000","21800000","22500000","22900000","23400000","23900000","25100000","24200000","24200000","24100000","23400000","22600000","22200000","21100000","20300000","19400000","18600000","17900000","17500000","17300000","18000000","17500000","17400000","17300000","17400000","18000000","18000000","18200000","18800000","18700000","",
"South Sudan","SSD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","501309","","","","580070","","","","","",
"Sub-Saharan Africa","SSF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","17100000","17200000","16900000","16500000","16000000","15700000","15400000","15400000","15700000","16300000","17300000","18400000","19500000","20400000","20900000","21700000","21800000","22500000","22900000","23400000","23900000","25100000","24200000","24200000","24100000","23400000","22600000","22200000","21100000","20300000","19400000","18600000","17900000","17500000","17300000","18000000","17500000","17400000","17300000","17400000","18000000","18000000","18200000","18800000","18700000","",
"Small states","SST","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","331316","341890","337079","331445","315961","304744","298355","287084","298802","306699","311535","304571","295679","296462","294264","291810","305258","310340","323979","336626","370359","389253","406518","413635","401359","408933","410243","406946","401528","409236","366352","344281","335024","324541","315815","307413","289199","286178","278893","275848","259203","245936","242328","245581","245356","238992","252911","241347","247776","245722","",
"Sao Tome and Principe","STP","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","359","378","","","","787","","798","","","","","","","","","2453","","","795","545","347","356","","1245","1186","967","1182","","","1774","1832","2024","","1037","","","",
"Suriname","SUR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","1995","1653","","","","","","","","","","","","","","","","","","","","","","","","","","","5112","4406","5028","2948","1770","2371","2856","2787","2967","2886","2589","2197","3560","3640","3206","",
"Slovak Republic","SVK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5263","8839","10876","10977","8970","5777","2861","2704","3929","5287","5932","4674","4430","5532","6683","7296","6061","4809","","",
"Slovenia","SVN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3683","2687","2370","980","1538","1328","1567","1139","753","20","","","430","382","365","324","26","","144","207","","","","","","",
"Sweden","SWE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","12216","","","","","5803","4623","3558","1294","459","","","","","","","","","","","","3801","11246","15564","15701","11390","4867","","","","","","","","","","","","",
"Eswatini","SWZ","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","17933","18538","18222","17451","17295","16536","16698","16874","17402","17707","","16857","18284","19578","20607","20156","21660","21719","23201","24115","23257","23890","23331","24027","21768","18985","19710","","","","","","","","","","","","","17710","12301","9550","12968","15980","15245","16453","16596","17972","17707","","",
"Sint Maarten (Dutch part)","SXM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Seychelles","SYC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","693","","","","","","","","","","","","","","610","386","321","319","","","","","386","69","","","","","","","","","","","","","","","","","","",
"Syrian Arab Republic","SYR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","256440","","212232","","","","","208129","209180","195009","193263","186624","183345","166455","150987","133203","97206","99830","96257","103444","","","","","","90950","99500","84274","","","","","","","","","","","","","","","263550","","","","","","","",
"Turks and Caicos Islands","TCA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","197","","118","126","23","203","403","284","271","","","","226","","","","","575","473","","","","","",
"Chad","TCD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","270973","","281476","","","","","","","","","","","365915","","","","","","","","","439118","425839","424272","423774","427058","422585","426305","","","","","","","","497469","","378487","","379252","453380","539891","466355","483664","",
"East Asia & Pacific (IDA & IBRD countries)","TEA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","11500000","7960403","6783041","5661491","5541447","5558772","5925385","6553067","7501422","8791684","9614992","10300000","8141444","5551654","5128696","4502145","4198487","4113581","4249618","4280034","4741586","3629060","3581165","3220840","2886076","2464600","2699262","2728201","2781808","2860808","3048852","2936297","2959910","3078384","",
"Europe & Central Asia (IDA & IBRD countries)","TEC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","988608","1043485","1153751","1098027","1133106","997613","876674","906142","781345","626126","543556","507979","649422","663787","609598","493312","523096","442507","430985","434365","377714","402005","370654","375149","366352","373282","386263","",
"Togo","TGO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","116592","117092","","","","","","98203","96531","97431","","108770","114060","137172","146611","161705","148056","150706","154683","153314","147785","","","169050","142113","120570","128136","","","","77154","","72306","","64348","","71824","66825","","","","","","62871","52778","66095","63145","48733","25663","",
"Thailand","THA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","1016561","1017622","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53668","63610","74832","52066","","","","","","","","","","","",
"Tajikistan","TJK","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27487","30567","20435","","","","","","","","","","","","6083","8466","8863","","","","",
"Turkmenistan","TKM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","3398544","3423171","3390862","3295043","3225752","3251907","3146376","2973727","2885040","2535258","2450374","2174596","2150819","2178318","2260284","2170183","2278978","2291792","2400772","2633433","2510266","2436123","2351670","2352648","2588742","2660062","2529711","2714156","1759062","1330718","1170867","1200046","1343310","1117620","1045361","708796","627474","563748","646452","597223","684005","736491","732216","776754","850076","819082","804675","758766","714410","701618","",
"Timor-Leste","TLS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15283","10579","10261","7912","9018","7684","5761","3998","3831","1511","2639","2729","",
"Middle East & North Africa (IDA & IBRD countries)","TMN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","5376841","5541948","5172912","5122432","5137389","4838144","4622354","4496301","4413350","4666124","4328380","4492739","4345654","4313974","4217607","4223137","4151927","4082060","4004986","4108872","3703140","3633007","4335092","4328991","3942620","4343103","3830889","3899635","3900490","3703147","3392050","2901988","2426063","2195036","2042456","2095134","2144199","1835940","1708685","1574797","1390474","1356138","1255084","1428249","1525326","1531212","1523156","1475922","1431529","","",
"Tonga","TON","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","963","1007","487","","901","216","","","","","","","","477","","130","242","","","","507","","","480","","","","","480","796","","","","","","","","","","","","","","","","","","","","","",
"South Asia (IDA & IBRD)","TSA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","25600000","26700000","26500000","24900000","25700000","25200000","25400000","25000000","27300000","27800000","27600000","27100000","27700000","27300000","26700000","27200000","26400000","28200000","26900000","25400000","25900000","26100000","25900000","24700000","23700000","23600000","23400000","23500000","24400000","23700000","21900000","21500000","20600000","14500000","12400000","10800000","9929340","8234539","7511783","7788780","7444188","7696238","7355334","6568672","6386023","6901373","6626372","6573121","6567300","6657563","",
"Sub-Saharan Africa (IDA & IBRD countries)","TSS","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","17100000","17200000","16900000","16500000","16000000","15700000","15400000","15400000","15700000","16300000","17300000","18400000","19500000","20400000","20900000","21700000","21800000","22500000","22900000","23400000","23900000","25100000","24200000","24200000","24100000","23400000","22600000","22200000","21100000","20300000","19400000","18600000","17900000","17500000","17300000","18000000","17500000","17400000","17300000","17400000","18000000","18000000","18200000","18800000","18700000","",
"Trinidad and Tobago","TTO","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","6404","7263","7846","7855","6664","3219","3119","4269","7949","10761","6185","5769","4974","6241","5960","7537","6198","5493","7219","7926","10352","11003","11745","","","10621","10082","","1382","373","764","3267","2872","726","2577","","","1359","1967","953","","","","","","","","","","",
"Tunisia","TUN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","160672","","","","182510","","","168986","159760","150472","139468","123076","105749","88816","82027","","","","64280","65766","57916","53390","45420","43032","37768","41718","44856","","39167","29961","15005","","","","203","15","6048","4850","1456","","","","","","","","","","","",
"Turkey","TUR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","578710","","","","","","","","","","","","","","","","","","","","359628","374468","","370251","","288190","","","","","","","122009","93807","110241","177226","143203","172925","216743","183138","149901","147831","162135","143085","138292","","",
"Tuvalu","TUV","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71","49","113","","","125","",
"Tanzania","TZA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","557840","651238","683353","","845664","898538","966179","1037020","1072945","1121887","1177406","1217841","1274942","1343559","1387689","1423038","1445717","1493950","1514563","1438713","1345839","901815","645320","497480","340378","125889","","37470","","262504","","487610","604459","685233","","668354","700780","842001","613436","",
"Uganda","UGA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","794936","","790539","775202","","","","685141","","","","","","","","","","","","","","","","","","","","","","","133186","253910","147562","","109769","","","","","","","",
"Ukraine","UKR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28972","96736","97407","90792","97335","97569","94918","89472","67621","49263","42650","42421","57849","","","","","","",
"Upper middle income","UMC","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","21800000","17800000","14400000","11000000","9903662","8563464","7570935","7360362","7946873","8789529","10100000","11600000","12500000","13000000","10100000","6882587","6534013","5623413","4979645","4296288","4313243","4233377","4575204","3576056","3617454","3439572","3464399","3391782","3801588","3942012","4066823","4046430","4193437","4026820","4174674","4310815","",
"Uruguay","URY","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","22167","","","","","","","11437","8627","7521","10111","10929","11584","11634","","","","","","","","","","2181","706","","","","","","4246","","","","","","",
"United States","USA","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31482","","","","","275425","368960","360231","327310","","231900","52078","","76669","","",
"Uzbekistan","UZB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88657","72486","77973","69483","62898","45738","33535","18323","","","","","","",
"St. Vincent and the Grenadines","VCT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","631","","283","","","","","","","","","","","","","","","","","","","237","","","","","","","","","","","","","","","",
"Venezuela, RB","VEN","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162629","120988","85312","31627","60281","60693","73579","75334","55133","89132","62183","50876","52781","79368","94212","89642","99384","134415","158656","","","",
"British Virgin Islands","VGB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","69","121","","","","","","","","","","","","","","","14","184","38","","","","69","106","","","","","","78","46","","","","","","","",
"Virgin Islands (U.S.)","VIR","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vietnam","VNM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Vanuatu","VUT","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","1530","","","","","","","","3021","","","","","","","","","","424","","","","","414","","","","","","","","","","","1503","","","","","",
"World","WLD","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","78100000","80800000","80200000","75100000","74400000","71900000","71700000","74100000","80000000","80400000","77800000","75400000","74400000","73800000","72700000","69800000","66400000","65200000","63300000","61400000","62100000","62200000","63800000","63900000","64100000","66300000","67500000","67500000","64800000","60500000","57100000","54600000","52800000","44800000","41800000","38900000","37500000","33500000","32100000","31700000","31500000","30900000","30600000","30000000","30000000","31100000","30900000","30900000","31400000","31500000","",
"Samoa","WSM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","630","","","","62","926","","","","","","","","","","","","","","","","","","","","","",
"Kosovo","XKX","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Yemen, Rep.","YEM","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","904826","","","","710058","658338","598287","","","540698","","467650","","423901","405279","","","431199","","","","",
"South Africa","ZAF","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","633294","","","","","","","","","","","","","","","","","","","","","372957","","","354284","333825","","","303972","259943","320974","272002","223655","183488","160915","152855","","","","","","","","","","","","198498","386532","","",
"Zambia","ZMB","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","126468","","","","124336","125999","133220","137932","141841","146002","152190","148434","147387","","144140","","164020","","","","","","248342","269834","","","318001","340602","343831","350193","329311","","197832","99654","116164","101879","","133307","177436","133908","113390","162875","","","","214262","","","",
"Zimbabwe","ZWE","Children out of school, primary, female","SE.PRM.UNER.FE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169110","136620","117297","75204","105373","109702","","","","","","","","","","","","","","","","","",
